image_names,label,xmin,xmax,ymin,ymax
000519.jpg,sink,1503.708505,1643.536105,376.323204,654.750804
000519.jpg,coffee_table,1785.133425,1945.915817,231.692892,392.787965
000519.jpg,large_sink,1058.333657,1249.958057,326.348526,520.744926
000519.jpg,small_sink,932.417153,1083.649553,528.921138,723.713538
000519.jpg,tub,1295.169777,1477.290177,326.906201,726.034601
000519.jpg,large_sofa,1577.173,2048.8486,1910.514038,2108.474438
000519.jpg,bed,195.263731,534.358531,537.168119,755.760119
000519.jpg,dining_table,1726.731258,2104.551266,656.257881,1039.600505
000519.jpg,small_sofa,1455.820388,1775.890199,1528.15945,1845.979083
000519.jpg,small_sofa,650.208893,905.074747,234.195533,480.896828
000519.jpg,coffee_table,623.817869,765.487511,100.622757,242.565994
000519.jpg,coffee_table,195.606033,432.839417,1869.819213,2107.521623
000519.jpg,small_sofa,196.048742,432.13999,1617.45254,1871.36576
000307.jpg,bed,355.063036,573.424639,711.759312,1050.623716
000307.jpg,coffee_table,908.969296,1084.075153,242.883324,418.331628
000307.jpg,small_sofa,197.612053,515.769995,146.246296,459.358034
000307.jpg,tub,1633.519138,2034.469984,393.751033,576.555257
000307.jpg,sink,1235.712953,1513.910153,114.176462,253.773662
000307.jpg,large_sink,1846.487599,2038.059756,113.665849,308.19461
000307.jpg,round_table,1242.055591,1721.473009,1278.058183,1757.913188
000307.jpg,large_sofa,226.93581,698.38101,1076.500984,1274.230984
000307.jpg,coffee_table,549.608231,725.29794,1370.004005,1546.092256
000307.jpg,coffee_table,1815.166022,2055.664022,1718.629704,1958.652504
000307.jpg,small_sofa,824.071151,1140.8935,1402.653985,1713.321284
000307.jpg,small_sofa,1796.007056,2012.745056,812.834323,1052.381923
000307.jpg,small_sofa,192.435952,497.110273,1420.512127,1733.535342
000307.jpg,coffee_table,1662.824423,1836.906988,600.52487,774.947786
000307.jpg,coffee_table,1828.830438,2002.913003,600.258722,774.681638
000307.jpg,coffee_table,1497.405478,1671.488042,600.111558,774.534474
